"RMG","SIO","SIOPLAS                  ∆¡ Ã √ÿ » ø¡ø≈™"
"RMG","JTN","                            …≈‘∫¡Õ …≈ƒ‘Õ"
"RMG","EPD","          EPDM  …≈’≈ ∫ …≈»™«» XLPE      "
"RMG","TTR","                              À¡‘ƒƒ ≈ƒ‘Õ"
"SCR","SH8","Aluminum Wires+Copper Tinned Tape       "
"SHL","SFA","29x#16                                  "
"SHL","SG1","48x#16                                  "
"INS","I24","3.4mm 6/10kV (VDE 0276/IEC60502/2)      "
"INS","I25","5.5mm 12/20kV (VDE 0276/IEC60502/2)     "
"INS","I26","8.0mm 18/30kV (VDE 0276/IEC60502/2)     "
"SHL","SG2","LAMINATED COPPER TAPE                   "
"SHL","SG3","ALUMINUM FOIL                           "
"SHL","SG4","COPPER WIRES & LEAD                     "
"FAM","F10","Medium Voltage Cables (IEC)             "
"SCR","SH9","Copper Wires & Lead                     "
"TEM","T05","70 degrees                              "
"ARM","COR","Corrugated Tape                         "
"CWB","P&Y","Powder & Yarn                           "
"LWB","CTL","Copper Tape Laminated                   "
"INS","I27","10.5mm 26/45kV (VDE 0276/IEC60502/2)    "
"FAM","F11","Medium Voltage Cables to CSA 68.5       "
"FAM","F12","Medium Voltage Cables to NBR 6251       "
"FAM","F13","Medium Voltage Cables to AS/NZS 1429.1  "
"CLS","BZA","Brazillian MV AL NBR 6251               "
"CLS","BZC","Brazilian MV CU NBR 6251                "
"FAM","F14","Medium Voltage Cables to VDE 0276       "
"INS","I28","2.5mm 3.6/6kV (VDE 0276/IEC60502/2)     "
"INS","I30","2.5mm 6/10kV (NBR 6251)                 "
"INS","I31","2.8mm 6/10kV (NBR 6251)                 "
"INS","I32","3.0mm 8.7/15kV (NBR 6251)               "
"INS","I33","3.5mm 8.7/15kV (NBR 6251)               "
"INS","I34","4.0mm 12/20kV (NBR 6251)                "
"INS","I35","4.5mm 12/20kV (NBR 6251)                "
"INS","I36","5.0mm 15/25kV (NBR 6251)                "
"INS","I37","5.5mm 15/25kV (NBR 6251)                "
"INS","I38","6.2mm 15/25kV (NBR 6251)                "
"INS","I39","6.5mm 20/35kV (NBR 6251)                "
"INS","I40","7.5mm 20/35kV (NBR 6251)                "
"INS","I41","8.2mm 20/35kV (NBR 6251)                "
"SHL","SG5","44x#14AWG                               "
"SHL","SG6","17.6mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SG7","34.3mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SG8","49.1mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SG9","68.0mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH0","88.2mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH1","22.2mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH2","32.4mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH3","45.2mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH4","60.6mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH5","76.6mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SH6","22.2mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SH7","23.7mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SH8","25.6mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SH9","27.0mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI0","28.9mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI1","31.0mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI2","32.4mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI3","35.7mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI4","37.5mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI5","27.0mm2 Heavy Duty Screen-AS/NZS 1429.1 "
"SHL","SI6","34.3mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI7","18.2mm2 Light Duty Screen-AS/NZS 1429.1 "
"SHL","SI8","39.0mm2 Light Duty Screen-AS/NZS 1429.1 "
"INS","I42","6.35/11 - 3.4mm AS/NZS 1429.1           "
"INS","I43","12.7/22 - 5.5mm AS/NZS 1429.1           "
"INS","I44","19/33 - 8.0mm AS/NZS 1429.1             "
"SHL","SFB","24x#16                                  "
"SHL","SFC","28x#16                                  "
"SHL","SFD","31x#12                                  "
"SHL","SFE","36x#14AWG                               "
"SHL","SFF","6x#16                                   "
"SHL","S0A","39x#14                                  "
"SHL","S0B","37x#14                                  "
"SHL","S0C","21x#12                                  "
"SHL","S00","Braided Shield                          "
"FAM","F0A","Airport Lighting Cables to FAA L-824B   "
"PIC","FAB","FAA 824 TYPE B 5,000V                   "
"CLS","FAB","FAA 824 TYPE B                          "
"OUT","CPP","CPE - Thermoplastic                     "
"SHL","SAA","Aluminum Wires                          "
"SHL","SAB","51x#8                                   "
"SHL","SAC","32x#9                                   "
"DTS","001","PCD 33-13                               "
"DTS","002","PCD 33-14                               "
"DTS","003","PCD 33-15                               "
"DTS","004","PCD 33-16                               "
"DTS","005","PCD 33-16                               "
"DTS","006","PCD 33-17                               "
"DTS","007","PCD 33-18                               "
"DTS","008","PCD 33-19                               "
"DTS","009","PCD 33-20                               "
"DTS","010","PCD 33-24                               "
"DTS","011","PCD 33-25                               "
"DTS","012","PCD 33-26                               "
"DTS","013","PCD 33-27                               "
"DTS","014","PCD 33-28                               "
"DTS","015","PCD 33-29                               "
"DTS","016","PCD 33-30                               "
"DTS","017","PCD 33-32                               "
"DTS","018","PCD 33-34                               "
"DTS","019","PCD 33-35                               "
"DTS","020","PCD 33-35DE                             "
"DTS","021","PCD 33-36                               "
"DTS","022","PCD 33-37                               "
"DTS","023","PCD 33-38                               "
"DTS","024","PCD 33-39                               "
"DTS","025","PCD 33-40                               "
"DTS","026","PCD 33-41                               "
"DTS","027","PCD 33-42                               "
"DTS","028","PCD 33-43                               "
"DTS","029","PCD 33-44                               "
"DTS","030","PCD 33-48                               "
"DTS","031","PCD 33-49                               "
"DTS","032","PCD 33-50                               "
"DTS","033","PCD 33-51                               "
"DTS","034","PCD 33-52                               "
